user,item,rating
0,0,5.0
0,163,5.0
0,215,4.0
0,220,5.0
0,418,5.0
0,422,4.0
0,446,4.0
0,516,5.0
0,539,5.0
0,669,5.0
0,778,5.0
0,781,4.0
0,873,5.0
0,1083,5.0
0,1202,3.0
0,1332,5.0
0,1627,3.0
0,1675,4.0
0,1801,4.0
0,1931,4.0
0,1990,4.0
0,2024,5.0
0,2089,5.0
0,2195,5.0
0,2250,5.0
0,2323,5.0
0,2324,5.0
1,0,5.0
1,5,4.0
1,332,5.0
1,557,4.0
1,748,4.0
2,0,2.0
2,185,5.0
2,268,5.0
2,557,2.0
2,760,4.0
2,836,5.0
2,880,5.0
2,889,5.0
2,994,4.0
2,1185,4.0
2,1259,4.0
2,1295,5.0
2,1299,5.0
2,1316,4.0
2,1455,2.0
2,1483,5.0
2,1509,2.0
2,1799,5.0
2,1895,5.0
2,1932,4.0
2,1980,5.0
2,2028,5.0
2,2040,4.0
2,2043,4.0
2,2076,5.0
2,2114,4.0
2,2221,5.0
2,2244,4.0
2,2297,5.0
2,2309,5.0
3,0,5.0
3,668,4.0
3,748,3.0
3,968,3.0
3,1187,5.0
4,0,5.0
4,473,5.0
4,532,4.0
4,767,4.0
4,941,3.0
4,944,4.0
4,986,5.0
4,1168,4.0
4,1333,5.0
4,1532,5.0
4,1575,4.0
4,1740,2.0
5,0,5.0
5,144,5.0
5,160,5.0
5,312,5.0
5,525,4.0
6,0,5.0
6,407,5.0
6,618,5.0
6,655,5.0
6,668,3.0
6,749,3.0
6,1116,4.0
6,1140,5.0
6,1153,4.0
6,1242,5.0
6,1278,3.0
6,1287,5.0
6,1295,5.0
6,1299,5.0
6,1323,5.0
6,1336,2.0
6,1348,5.0
6,1413,5.0
6,1501,5.0
6,1512,5.0
6,1589,2.0
6,1641,5.0
6,1818,5.0
6,1852,5.0
6,1862,2.0
6,1875,5.0
6,1889,3.0
6,2023,4.0
6,2117,5.0
6,2147,2.0
6,2285,5.0
6,2368,5.0
6,2382,5.0
7,0,5.0
7,165,5.0
7,712,5.0
7,1585,5.0
7,1691,5.0
8,1,5.0
8,63,5.0
8,188,5.0
8,255,5.0
8,446,5.0
8,663,5.0
8,667,5.0
8,677,5.0
8,749,5.0
8,771,3.0
8,816,4.0
8,882,5.0
8,935,5.0
8,1009,2.0
8,1116,4.0
8,1120,5.0
8,1225,5.0
8,1244,5.0
8,1293,5.0
8,1296,5.0
8,1327,5.0
8,1379,5.0
8,1403,5.0
8,1692,5.0
8,1818,5.0
8,1819,4.0
8,1848,5.0
8,1875,5.0
8,1969,4.0
8,1985,4.0
8,2016,5.0
8,2025,5.0
8,2099,5.0
8,2110,3.0
8,2146,4.0
8,2152,5.0
8,2156,5.0
8,2169,5.0
8,2209,3.0
8,2222,5.0
8,2223,3.0
8,2260,4.0
8,2274,5.0
8,2350,5.0
9,1,5.0
9,2,3.0
9,1703,4.0
9,1750,5.0
9,1913,4.0
10,1,5.0
10,667,5.0
10,689,5.0
10,1316,5.0
10,1808,5.0
11,1,5.0
11,4,5.0
11,109,5.0
11,180,5.0
11,418,5.0
11,738,5.0
11,836,5.0
11,1216,5.0
11,1239,5.0
11,1242,5.0
11,1244,5.0
11,1265,5.0
11,1299,5.0
11,1323,5.0
11,1326,5.0
11,1331,5.0
11,1341,5.0
11,1419,5.0
11,1452,5.0
11,1517,5.0
11,1560,5.0
11,1713,5.0
11,1720,5.0
11,1799,5.0
11,1829,5.0
11,1936,4.0
11,2028,5.0
11,2029,5.0
11,2041,5.0
11,2104,5.0
11,2167,5.0
11,2253,5.0
11,2326,5.0
12,1,5.0
12,20,5.0
12,44,5.0
12,123,4.0
12,128,5.0
12,264,4.0
12,778,5.0
12,804,5.0
12,828,5.0
12,886,5.0
12,1014,5.0
12,1015,4.0
12,1040,4.0
12,1075,5.0
12,1078,5.0
12,1261,5.0
12,1275,5.0
12,1388,5.0
12,1498,4.0
12,1499,4.0
12,1516,2.0
12,1522,5.0
12,1666,3.0
12,1792,3.0
12,1800,5.0
12,1922,5.0
12,1937,5.0
12,2070,5.0
12,2220,4.0
12,2241,4.0
12,2254,4.0
12,2308,3.0
12,2316,5.0
12,2318,5.0
12,2321,5.0
12,2332,5.0
12,2340,4.0
12,2363,3.0
13,1,5.0
13,43,4.0
13,51,5.0
13,52,5.0
13,53,4.0
13,57,5.0
13,136,5.0
13,138,5.0
13,139,5.0
13,140,5.0
13,141,5.0
13,142,5.0
13,186,4.0
13,187,5.0
13,207,5.0
13,211,5.0
13,218,5.0
13,219,5.0
13,226,5.0
13,229,5.0
13,262,5.0
13,276,5.0
13,398,4.0
13,463,4.0
13,464,4.0
13,568,5.0
13,569,5.0
13,611,4.0
13,620,4.0
13,642,4.0
13,644,3.0
13,646,3.0
13,745,5.0
13,853,4.0
13,1088,3.0
13,1177,3.0
13,1337,4.0
13,1491,5.0
13,1492,5.0
13,1553,5.0
13,1601,5.0
13,1612,5.0
13,1626,5.0
13,1821,4.0
14,1,4.0
14,6,5.0
14,53,4.0
14,136,5.0
14,563,5.0
14,764,4.0
14,1075,5.0
14,1322,5.0
15,1,5.0
15,279,4.0
15,1538,4.0
15,1705,5.0
15,1788,5.0
16,1,5.0
16,272,5.0
16,287,5.0
16,463,1.0
16,464,1.0
16,685,5.0
16,1159,5.0
16,1582,5.0
16,1648,5.0
16,1809,5.0
17,2,5.0
17,133,5.0
17,168,4.0
17,170,5.0
17,171,5.0
17,172,5.0
17,173,5.0
17,207,5.0
17,208,5.0
18,2,4.0
18,55,5.0
18,63,5.0
18,130,5.0
18,744,5.0
18,1300,5.0
18,1619,3.0
19,2,5.0
19,198,5.0
19,220,5.0
19,420,5.0
19,504,5.0
19,1212,3.0
19,1275,5.0
19,1375,5.0
19,1424,5.0
19,1571,5.0
19,1799,5.0
19,1803,5.0
19,1852,3.0
19,1898,3.0
19,1951,4.0
19,2063,4.0
19,2116,5.0
19,2215,4.0
19,2227,4.0
19,2286,3.0
20,2,4.0
20,310,5.0
20,481,5.0
20,877,5.0
20,986,5.0
20,1028,5.0
20,1240,5.0
20,1245,5.0
20,1263,5.0
20,1297,5.0
20,1298,5.0
20,1378,5.0
20,1419,5.0
20,1454,5.0
20,1556,5.0
20,1647,5.0
20,1853,5.0
20,1977,5.0
20,2028,5.0
20,2076,5.0
20,2174,5.0
20,2197,5.0
20,2205,5.0
20,2270,5.0
20,2357,5.0
21,2,5.0
21,20,5.0
21,29,5.0
21,44,5.0
21,201,5.0
21,316,5.0
21,450,5.0
21,453,5.0
21,481,5.0
21,638,5.0
21,664,5.0
21,718,5.0
21,794,5.0
21,795,5.0
21,805,5.0
21,984,5.0
21,1291,5.0
21,1412,5.0
21,1437,4.0
21,1461,5.0
21,1523,5.0
21,1750,5.0
21,1797,5.0
21,1799,4.0
21,1821,5.0
21,1829,5.0
21,2060,4.0
22,2,5.0
22,44,5.0
22,73,4.0
22,190,5.0
22,220,4.0
22,256,4.0
22,404,5.0
22,422,5.0
22,479,5.0
22,497,5.0
22,602,5.0
22,740,4.0
22,794,4.0
22,824,4.0
22,994,4.0
22,1216,5.0
22,1322,5.0
22,1332,4.0
22,1338,4.0
22,1413,5.0
22,1424,5.0
22,1481,3.0
22,1560,4.0
22,1595,5.0
22,1750,5.0
22,1819,5.0
22,1833,5.0
22,1901,5.0
22,2160,5.0
22,2168,5.0
22,2195,3.0
22,2300,4.0
23,2,5.0
23,366,5.0
23,830,5.0
23,1431,5.0
23,1738,5.0
24,2,5.0
24,104,5.0
24,139,5.0
24,302,4.0
24,351,5.0
24,426,2.0
24,1269,5.0
24,1424,5.0
24,1601,5.0
24,1695,5.0
24,1831,5.0
24,2190,4.0
25,2,5.0
25,446,4.0
25,729,4.0
25,1196,4.0
25,1481,5.0
25,1489,5.0
25,1802,5.0
26,2,5.0
26,96,5.0
26,132,5.0
26,137,5.0
26,138,5.0
26,154,5.0
26,165,5.0
26,167,5.0
26,169,4.0
26,619,5.0
26,718,5.0
26,808,5.0
26,853,5.0
26,882,5.0
26,978,5.0
26,1080,5.0
26,1457,5.0
26,1934,5.0
26,2175,4.0
26,2190,5.0
27,2,5.0
27,28,5.0
27,79,5.0
27,468,3.0
27,1308,4.0
28,2,5.0
28,106,5.0
28,1014,5.0
28,1057,3.0
28,1229,5.0
28,1261,4.0
28,2067,5.0
29,2,5.0
29,105,5.0
29,117,5.0
29,132,4.0
29,136,4.0
29,351,5.0
29,446,5.0
29,969,5.0
30,2,4.0
30,145,4.0
30,352,5.0
30,751,4.0
30,755,5.0
30,805,4.0
30,1036,5.0
30,1453,4.0
30,1461,5.0
30,1481,2.0
30,1712,3.0
30,1797,5.0
30,1875,5.0
30,2041,4.0
30,2323,4.0
31,2,1.0
31,165,5.0
31,413,5.0
31,558,5.0
31,893,5.0
31,1136,5.0
32,2,5.0
32,600,1.0
32,648,5.0
32,813,5.0
32,1079,5.0
32,1834,5.0
32,1909,5.0
33,2,3.0
33,220,4.0
33,498,5.0
33,539,5.0
33,602,3.0
33,986,5.0
33,1224,3.0
33,1249,5.0
33,1323,2.0
33,1325,5.0
33,1341,4.0
33,1386,2.0
33,1415,4.0
33,1471,3.0
33,1481,3.0
33,1489,3.0
33,1528,3.0
33,1834,5.0
33,2090,5.0
33,2116,4.0
33,2233,4.0
33,2298,3.0
33,2313,3.0
33,2315,4.0
33,2345,4.0
33,2363,3.0
33,2387,4.0
34,2,5.0
34,198,5.0
34,263,1.0
34,264,5.0
34,374,5.0
34,516,5.0
34,669,5.0
34,892,5.0
34,920,3.0
34,934,5.0
34,1011,5.0
34,1072,5.0
34,1115,5.0
34,1117,5.0
34,1148,3.0
34,1216,5.0
34,1291,5.0
34,1293,4.0
34,1295,5.0
34,1321,5.0
34,1601,5.0
34,1981,1.0
34,1987,5.0
34,2042,5.0
34,2079,3.0
34,2156,3.0
34,2171,5.0
34,2179,4.0
34,2199,5.0
34,2266,4.0
34,2275,4.0
34,2311,5.0
34,2327,5.0
34,2330,5.0
34,2331,5.0
34,2333,5.0
34,2353,5.0
35,2,5.0
35,375,5.0
35,760,5.0
35,901,5.0
35,1017,3.0
36,2,2.0
36,95,4.0
36,182,5.0
36,1416,4.0
36,1458,5.0
36,1540,5.0
36,1812,5.0
37,2,5.0
37,213,5.0
37,301,5.0
37,623,5.0
37,1716,5.0
38,2,5.0
38,123,5.0
38,188,5.0
38,1078,5.0
38,1388,4.0
38,1499,5.0
38,1803,5.0
38,1848,5.0
38,1982,3.0
38,2157,5.0
38,2169,5.0
38,2209,4.0
38,2229,5.0
38,2230,4.0
38,2231,4.0
38,2241,4.0
39,3,1.0
39,513,1.0
39,514,1.0
39,523,1.0
39,1153,1.0
39,1186,1.0
40,3,5.0
40,127,5.0
40,151,2.0
40,281,5.0
40,360,3.0
40,445,2.0
40,1113,3.0
40,1646,5.0
41,3,4.0
41,5,5.0
41,306,5.0
41,1524,5.0
41,2401,5.0
42,3,2.0
42,71,4.0
42,253,5.0
42,255,4.0
42,297,4.0
42,310,4.0
42,471,4.0
42,481,5.0
42,531,4.0
42,705,3.0
42,816,5.0
42,840,3.0
42,854,4.0
42,905,5.0
42,925,5.0
42,1023,5.0
42,1139,4.0
42,1147,4.0
42,1239,5.0
42,1240,4.0
42,1260,4.0
42,1263,4.0
42,1293,5.0
42,1296,5.0
42,1376,5.0
42,1480,5.0
42,1481,4.0
42,1540,4.0
42,1699,4.0
42,1729,4.0
42,1742,5.0
42,1751,3.0
42,1755,4.0
42,1822,5.0
42,1918,5.0
42,2017,5.0
42,2046,4.0
42,2076,5.0
42,2181,4.0
43,3,5.0
43,41,5.0
43,144,4.0
43,150,5.0
43,991,5.0
43,1889,5.0
44,3,5.0
44,434,5.0
44,980,3.0
44,1324,4.0
44,1474,4.0
44,1865,4.0
45,3,5.0
45,202,5.0
45,923,5.0
45,980,4.0
45,1507,5.0
46,3,5.0
46,275,4.0
46,833,4.0
46,879,4.0
46,1554,4.0
47,3,5.0
47,1444,4.0
47,1492,1.0
47,1594,1.0
47,1695,5.0
48,3,4.0
48,1427,5.0
48,1438,4.0
48,1579,4.0
48,1624,4.0
48,1910,5.0
48,2102,5.0
49,4,5.0
49,96,5.0
49,113,5.0
49,114,5.0
49,296,4.0
49,424,5.0
49,442,5.0
49,660,5.0
49,674,5.0
49,738,5.0
49,841,5.0
49,893,5.0
49,910,4.0
49,913,4.0
49,1126,5.0
49,1200,5.0
49,1301,5.0
49,1828,5.0
49,1978,5.0
49,2037,5.0
50,4,5.0
50,29,5.0
50,34,5.0
50,40,5.0
50,44,5.0
50,69,5.0
50,104,5.0
50,150,5.0
50,254,5.0
50,805,5.0
50,824,5.0
50,828,5.0
50,1147,5.0
50,1196,5.0
50,1244,5.0
50,1265,5.0
50,1294,5.0
50,1295,5.0
50,1298,5.0
50,1325,5.0
50,1361,5.0
50,1364,5.0
50,1386,5.0
50,1455,5.0
50,1560,5.0
50,1789,5.0
50,1800,5.0
50,1801,5.0
50,1802,5.0
50,1821,5.0
50,1829,5.0
50,1873,5.0
50,1885,5.0
50,1937,5.0
50,1963,5.0
50,2028,5.0
50,2033,5.0
50,2233,5.0
50,2271,5.0
50,2344,5.0
51,4,4.0
51,34,5.0
51,434,5.0
51,579,4.0
51,824,5.0
51,1139,4.0
51,1291,5.0
51,1297,5.0
51,1298,5.0
51,1299,5.0
51,1318,3.0
51,1327,3.0
51,1364,3.0
51,1454,5.0
51,1489,5.0
51,1497,4.0
51,1522,5.0
51,1528,3.0
51,1637,5.0
51,1689,4.0
51,1724,4.0
51,1762,5.0
51,1798,4.0
51,1821,2.0
51,1902,4.0
51,1936,5.0
51,2024,5.0
51,2145,2.0
51,2155,4.0
51,2160,5.0
51,2220,3.0
51,2230,3.0
51,2245,5.0
51,2264,5.0
51,2296,4.0
51,2311,4.0
